commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
5efbfb6b02107937765cc264c6494e9a22499d85,cocoon,1,1,fetchFromGitHub,f1e8ae508a9a467a9f51d29b8639e96db2b52c30
a64a5a06301fd874b7da99d9a7c1991be89ffa04,librehardwaremonitor-api,1,1,fetchFromGitHub,a3e67ddfeb2e04ef6ae3fddc8aae678696b08714
d9430cfe41e219aed8ac856227d8d3414f1cc61b,zatackax,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
9efc113722a4b59a21a64a096d598708e0f3bac3,jack-link,1,1,fetchFromGitHub,63bdb5d90fa2fa11c42f9716ad1e23565613b07c
c3ed4686fe74c553110700cfae9daf86802587fe,igraph_0,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
d4de40a650dda54149348d7664e545c211276aec,literata,1,1,fetchzip,a3f75d80983edb6010b08b9e6ce889811129a26c
2c40a3091b1e2c1ceae3396142ea68274675691b,mtkclient,1,1,fetchFromGitHub,45ebaee5d90bab997812235564af4cf5107bde89
25a6f9bfc3b9cb60312b545490f4059ebfc6947d,tomat,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
863bf3dfa6b5e8566643b9ba6c6727162b4edfc5,python-jsonpath,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
49df0d02ed8f1a75bad289b449e70e97da60b029,xeger,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
af9e231e168ba2dfc71bc74763261730ef30e8cd,watchgha,1,1,fetchPypi,3cbe716e2346710d6e1f7c559363d14e11c32a43
cc559b7bb0be44ab532122bef8a4ce769287a896,karere,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
5d4760c8bb8f3a0eb5dc95c54da6455b630c5b7d,systemd-credsubst,1,1,fetchFromGitHub,de69d2ba6c70e747320df9c096523b623d3a4c35
c3793a77580f34e4594560d13706d7af0da2fa2f,rusty-path-of-building,2,2,"fetchurl,fetchFromGitHub",e99366c665bdd53b7b500ccdc5226675cfc51f45
14d0327e9c459d5d353e24890f3c0e0b6c8bd618,fakesip,1,1,fetchFromGitHub,a7fc11be66bdfb5cdde611ee5ce381c183da8386
27ea5b1a461525f0bfa92f407a14a73322fb20c0,fakehttp,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
bfd50c9548f757da271091953adada2e699b560a,mprisify,1,1,fetchFromGitLab,e99366c665bdd53b7b500ccdc5226675cfc51f45
21124ba61b0291bbad7c3dac526eaca74ecaf7e3,mdio-tools,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
68ed260e1673d1f815334ee58625c29738f8a886,nativefiledialog-extended,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
40856f9ca8682d20508c382d8e948aad557747da,torchcodec,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
6e978ef038fd84b97a83bed721ccdc7f8c1a1d5e,nixbit,1,1,fetchFromGitHub,01b6809f7f9d1183a2b3e081f0a1e6f8f415cb09
7234d45eb6c6666e4a3ddb4ef161771b8adc2804,fastd-exporter,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
86a92e49c4aa81f737d18bae97953d9744af910e,hyprfreeze,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
dfe018a51c1e3a081ae5d43a032e8fe8fec6b272,tinygltf,1,1,fetchFromGitHub,e99366c665bdd53b7b500ccdc5226675cfc51f45
6715f8f3f2323a70d5c79a014422f4965c29a4ef,batticonplus,1,1,fetchFromGitHub,de69d2ba6c70e747320df9c096523b623d3a4c35
f6e5f353191a1b874e0d855dedfe346a69a637db,uhhyou-plugins-juce,1,1,fetchFromGitHub,de69d2ba6c70e747320df9c096523b623d3a4c35
34cb8d1d09482bb8a8ce1ff2dbe6078a8df02b11,uhhyou-plugins,1,1,fetchFromGitHub,de69d2ba6c70e747320df9c096523b623d3a4c35
7015408b3cec6ca320f4c7c90262500e1a8ea03c,ocp-browser,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
d15ccc471edf043bb0af2dfef4e5c6d01c36dd40,chipwhisperer,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
8665289c040bfdcf17712b5b6d87740a45f7145c,numpy-typing-compat,1,1,fetchPypi,1666250dbe4141e4ca8aaf89b40a3a51c2e36144
65f42173f17014e6255fd8806e52595de61a1bb0,beammp-launcher,1,1,fetchFromGitHub,58dcbf1ec551914c3756c267b8b9c8c86baa1b2f
9a4f7a19e46a99d2a35c28ba3b929e4d7d03f3e1,go-csp-collector,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
e36a5b759d897e5a210b3663d5f941ec2a90c146,zope-index,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
5ad8a6252cc43adb82e9dd6fa5c43f42463924ea,simplecosine,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
1e34678aa1b3f8f9e58a8a42fb30b1c4bfdd27e6,doublemetaphone,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
a21f05cdb18db9b048c8bcbefb3b8f784d884c56,dedupe-pylbfgs,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
d3edbad75fba40eb8e7dadc375ddcb8343de29c9,dedupe-levenshtein-search,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
0d1deaa35fdf15527790c1fc0b239b2c70933f34,categorical-distance,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
25b4acf2eacda5546ab89394aa8b877ac52a8538,affinegap,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
ec212ce238feb98f60925abebb1ded418ca38245,vicinae,3,1,"fetchFromGitHub,fetchNpmDeps,fetchNpmDeps",c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
ed6551c9e74fefb28909b8b9730adf2b3ba9846c,jart-jsoncpp,1,1,fetchFromGitHub,35f590344ff791e6b1d6d6b8f3523467c9217caf
5641e202cbe5f1217be7601c6469d7abc2e4c02b,pydroplet,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
37bcb08fa8a3a6b0bcaad3c109d2ec9ad829811d,stasis,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
f89b079591c41fcd28841e146f80364bc18ca838,kide,2,1,"fetchFromGitHub,fetchNpmDeps",02f2cb8e0feb4596d20cc52fda73ccee960e3538
8d05f6fe3a0ceb97caee74c92257c7eb0d57ff15,victron-vrm,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
6c8c69dd58b7e77c3d61b61257bffe79087f887e,gitfetch,1,1,fetchFromGitHub,d5faa84122bc0a1fd5d378492efce4e289f8eac1
